Order ID,Product_Category,Shipping_Mode,Order Value,Package_Weight_Kg,Warehouse Distance Km,Items in Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic Index,Delivery_Time_Hours
ORD-10034,Books,Economy,27.95,0.9,1125,2,8.7,0.8,1.7,69.9
ORD-10035,Apparel,Standard,138.08,0.3,129,3,11.6,1.21,1.19,16.2
ORD-10036,Toys & Games,Express,69.51,0.8,187,4,2.1,0.87,1.78,6.9
ORD-10037,Health & Beauty,Economy,56.94,1.6,134,5,19.8,1.28,1.27,28.5
ORD-10038,Electronics,Standard,153.73,1.1,396,6,8.2,0.94,1.86,25.5
ORD-10039,Sports & Outdoors,Express,235.6,9.0,400,1,3.7,1.35,1.35,15.9
ORD-10040,Home & Kitchen,Standard,301.51,7.5,574,2,14.0,1.01,1.94,42.1
ORD-10041,Office Supplies,Standard,43.18,3.3,663,3,4.8,1.42,1.43,38.5
ORD-10042,Books,Express,49.31,1.3,613,4,5.3,1.08,0.92,15.5
ORD-10043,Apparel,Standard,122.32,0.3,841,5,10.6,0.74,1.51,34.1
ORD-10044,Toys & Games,Standard,35.35,2.0,930,6,13.5,1.15,1.0,40.2
ORD-10045,Health & Beauty,Express,19.98,1.8,206,1,2.8,0.81,1.59,7.2
ORD-10046,Electronics,Standard,179.29,2.7,1108,2,7.2,1.22,1.08,43.7
ORD-10047,Sports & Outdoors,Standard,179.12,5.2,147,3,10.1,0.88,1.67,15.5
ORD-10048,Home & Kitchen,Express,149.39,3.9,419,4,4.4,1.29,1.16,14.8
ORD-10049,Office Supplies,Standard,20.5,3.3,325,5,15.9,0.95,1.75,29.4
ORD-10050,Books,Same Day,71.67,1.7,47,6,1.1,1.36,1.24,3.7
ORD-10051,Apparel,Economy,106.56,0.3,276,1,23.3,1.02,1.83,43.9
ORD-10052,Toys & Games,Standard,111.19,3.2,592,2,12.5,1.43,1.32,40.4
ORD-10053,Health & Beauty,Express,77.02,0.2,154,3,1.6,1.09,1.91,6.9
ORD-10054,Electronics,Economy,205.85,4.3,585,4,18.3,0.75,1.4,42.9
ORD-10055,Sports & Outdoors,Standard,123.64,1.4,859,5,9.1,1.16,0.89,31.3
ORD-10056,Home & Kitchen,Express,317.27,11.3,367,6,3.2,0.82,1.48,10.6
ORD-10057,Office Supplies,Economy,82.82,3.3,894,1,13.3,1.23,0.97,56.0
ORD-10058,Books,Standard,28.03,2.1,76,2,5.7,0.89,1.56,8.3
ORD-10059,Apparel,Express,90.8,0.3,580,3,4.8,1.3,1.05,18.0
ORD-10060,Toys & Games,Standard,77.03,0.9,254,4,11.5,0.96,1.64,21.5
ORD-10061,Health & Beauty,Standard,40.06,0.4,343,5,14.4,1.37,1.13,27.7
ORD-10062,Electronics,Express,231.41,5.9,173,6,2.3,1.03,1.72,7.4
ORD-10063,Sports & Outdoors,Standard,67.16,6.6,521,1,8.1,1.44,1.21,30.8
ORD-10064,Home & Kitchen,Standard,165.15,7.7,610,2,11.0,1.1,1.8,41.2
ORD-10065,Office Supplies,Express,59.14,3.3,386,3,3.9,0.76,1.29,10.2
ORD-10066,Books,Standard,50.39,2.5,788,4,4.7,1.17,1.88,48.0
ORD-10067,Apparel,Standard,74.04,0.3,877,5,7.6,0.83,1.37,32.5
ORD-10068,Toys & Games,Express,43.87,2.1,599,6,5.5,1.24,0.86,16.1
ORD-10069,Health & Beauty,Standard,98.1,0.6,1055,1,13.4,0.9,1.45,47.8
ORD-10070,Electronics,Same Day,257.97,1.5,19,2,1.5,1.31,0.94,2.3
ORD-10071,Sports & Outdoors,Economy,251.68,2.8,1036,3,16.8,0.97,1.53,78.3
ORD-10072,Home & Kitchen,Standard,333.03,4.1,272,4,10.0,1.38,1.02,19.6
ORD-10073,Office Supplies,Express,36.46,3.3,334,5,2.7,1.04,1.61,12.0
ORD-10074,Books,Economy,72.75,0.4,1345,6,11.8,0.7,1.1,53.2
ORD-10075,Apparel,Standard,58.28,0.3,539,1,6.6,1.11,1.69,31.9
ORD-10076,Toys & Games,Express,119.71,3.3,547,2,4.3,0.77,1.18,12.6
ORD-10077,Health & Beauty,Economy,61.14,0.8,354,3,22.9,1.18,1.77,52.5
ORD-10078,Electronics,Standard,283.53,3.1,806,4,15.3,0.84,1.26,36.6
ORD-10079,Sports & Outdoors,Express,195.2,8.0,140,5,1.8,1.25,1.85,7.2
ORD-10080,Home & Kitchen,Standard,181.91,11.5,984,6,9.0,0.91,1.34,39.0
ORD-10081,Office Supplies,Standard,98.78,3.3,1073,1,11.9,1.32,1.93,80.2
ORD-10082,Books,Express,29.11,0.8,353,2,3.4,0.98,1.42,11.6
ORD-10083,Apparel,Standard,42.52,0.3,201,3,5.6,1.39,0.91,12.0
ORD-10084,Toys & Games,Standard,85.55,1.0,290,4,8.5,1.05,1.5,19.9
ORD-10085,Health & Beauty,Express,24.18,1.0,566,5,5.0,0.71,0.99,11.6
ORD-10086,Electronics,Standard,309.09,4.7,468,6,14.3,1.12,1.58,35.0
ORD-10087,Sports & Outdoors,Standard,139.72,4.2,557,1,5.1,0.78,1.07,16.7
ORD-10088,Home & Kitchen,Express,349.79,7.9,159,2,2.5,1.19,1.66,7.7
ORD-10089,Office Supplies,Standard,75.1,3.3,735,3,10.9,0.85,1.15,28.9
ORD-10090,Books,Same Day,51.47,1.2,39,4,1.9,1.26,1.74,4.8
ORD-10091,Apparel,Economy,206.76,0.3,496,5,10.3,0.92,1.23,32.8
ORD-10092,Toys & Games,Standard,51.39,2.2,1002,6,7.5,1.33,1.82,68.1
ORD-10093,Health & Beauty,Express,82.22,1.2,514,1,3.8,0.99,1.31,14.9
ORD-10094,Electronics,Economy,335.65,6.3,805,2,21.4,1.4,1.9,107.1
ORD-10095,Sports & Outdoors,Standard,83.24,9.4,219,3,4.1,1.06,1.39,12.2
ORD-10096,Home & Kitchen,Express,197.67,4.3,107,4,5.4,0.72,0.88,6.5
ORD-10097,Office Supplies,Economy,52.42,3.3,1114,5,16.4,1.13,1.47,90.4
ORD-10098,Books,Standard,73.83,1.6,486,6,12.8,0.79,0.96,22.0
ORD-10099,Apparel,Express,190.0,0.3,320,1,2.9,1.2,1.55,12.8
ORD-10100,Toys & Games,Standard,127.23,3.4,664,2,6.5,0.86,1.04,21.3
ORD-10101,Health & Beauty,Standard,45.26,1.4,753,3,9.4,1.27,1.63,48.4
ORD-10102,Electronics,Express,361.21,1.9,533,4,4.5,0.93,1.12,13.8
ORD-10103,Sports & Outdoors,Standard,267.76,5.6,931,5,15.2,1.34,1.71,68.5
ORD-10104,Home & Kitchen,Standard,45.55,11.7,1020,6,6.0,1.0,1.2,36.6
ORD-10105,Office Supplies,Express,29.74,3.3,126,1,2.0,1.41,1.79,7.3
ORD-10106,Books,Standard,30.19,2.0,148,2,11.8,1.07,1.28,16.9
ORD-10107,Apparel,Standard,174.24,0.3,237,3,14.7,0.73,1.87,22.8
ORD-10108,Toys & Games,Express,93.07,1.1,339,4,3.6,1.14,1.36,12.4
ORD-10109,Health & Beauty,Standard,103.3,1.6,415,5,8.4,0.8,0.85,15.5
ORD-10110,Electronics,Same Day,387.77,3.5,11,6,2.3,1.21,1.44,2.9
ORD-10111,Sports & Outdoors,Economy,211.28,1.8,1256,1,19.9,0.87,0.93,60.5
ORD-10112,Home & Kitchen,Standard,213.43,8.1,682,2,5.0,1.28,1.52,38.2
ORD-10113,Office Supplies,Express,91.06,3.3,74,3,4.9,0.94,1.01,6.1
ORD-10114,Books,Economy,52.55,2.4,265,4,14.9,1.35,1.6,37.8
ORD-10115,Apparel,Standard,158.48,0.3,949,5,13.7,1.01,1.09,39.8
ORD-10116,Toys & Games,Express,59.91,2.3,287,6,2.4,1.42,1.68,13.8
ORD-10117,Health & Beauty,Economy,66.34,1.8,574,1,9.9,1.08,1.17,38.9
ORD-10118,Electronics,Standard,413.33,5.1,166,2,10.3,0.74,1.76,15.7
ORD-10119,Sports & Outdoors,Express,155.8,7.0,500,3,4.0,1.15,1.25,16.0
ORD-10120,Home & Kitchen,Standard,61.31,4.5,344,4,4.0,0.81,1.84,16.8
ORD-10121,Office Supplies,Standard,68.38,3.3,433,5,6.9,1.22,1.33,24.5
ORD-10122,Books,Express,74.91,2.8,93,6,1.5,0.88,1.92,4.1
ORD-10123,Apparel,Standard,142.72,0.3,611,1,12.7,1.29,1.41,40.5
ORD-10124,Toys & Games,Standard,25.75,3.5,700,2,15.6,0.95,0.9,30.6
ORD-10125,Health & Beauty,Express,29.38,0.2,306,3,3.1,1.36,1.49,13.4
ORD-10126,Electronics,Standard,439.89,6.7,878,4,9.3,1.02,0.98,31.2
ORD-10127,Sports & Outdoors,Standard,99.32,3.2,967,5,12.2,1.43,1.57,66.5
ORD-10128,Home & Kitchen,Express,229.19,11.9,519,6,4.7,1.09,1.06,14.7
ORD-10129,Office Supplies,Standard,45.7,3.3,95,1,5.9,0.75,1.65,8.8
ORD-10130,Books,Same Day,31.27,0.7,31,2,0.9,1.16,1.14,2.3
ORD-10131,Apparel,Economy,126.96,0.3,716,3,13.4,0.82,1.73,54.0
ORD-10132,Toys & Games,Standard,101.59,1.2,362,4,14.6,1.23,1.22,28.2
ORD-10133,Health & Beauty,Express,87.42,0.4,254,5,1.9,0.89,1.81,8.7
ORD-10134,Electronics,Economy,465.45,2.3,1025,6,8.4,1.3,1.3,77.7
ORD-10135,Sports & Outdoors,Standard,43.84,8.4,629,1,11.2,0.96,1.89,39.7
ORD-10136,Home & Kitchen,Express,77.07,8.3,467,2,3.5,1.37,1.38,18.2
ORD-10137,Office Supplies,Economy,22.02,3.3,1334,3,19.5,1.03,0.87,67.3
ORD-10138,Books,Standard,53.63,1.1,896,4,7.8,1.44,1.46,54.9
ORD-10139,Apparel,Express,110.2,0.3,60,5,5.1,1.1,0.95,6.1
ORD-10140,Toys & Games,Standard,67.43,2.4,1074,6,13.6,0.76,1.54,45.0
ORD-10141,Health & Beauty,Standard,50.46,0.6,113,1,4.4,1.17,1.03,7.8
ORD-10142,Electronics,Express,491.01,3.9,273,2,2.6,0.83,1.62,8.7
ORD-10143,Sports & Outdoors,Standard,227.36,4.6,291,3,10.2,1.24,1.11,20.2
ORD-10144,Home & Kitchen,Standard,245.95,4.7,380,4,13.1,0.9,1.7,27.6
ORD-10145,Office Supplies,Express,84.34,3.3,486,5,4.2,1.31,1.19,16.8
ORD-10146,Books,Standard,75.99,1.5,558,6,6.8,0.97,1.78,30.9
ORD-10147,Apparel,Standard,94.44,0.3,647,1,9.7,1.38,1.27,38.0
ORD-10148,Toys & Games,Express,33.27,3.6,79,2,1.7,1.04,1.86,4.2
ORD-10149,Health & Beauty,Standard,108.5,0.8,825,3,15.5,0.7,1.35,35.0
ORD-10150,Electronics,Same Day,517.57,5.5,51,4,1.3,1.11,1.94,5.0
ORD-10151,Sports & Outdoors,Economy,171.88,9.8,176,5,23.0,0.77,1.43,30.8
ORD-10152,Home & Kitchen,Standard,93.83,12.1,1092,6,12.1,1.18,0.92,41.7
ORD-10153,Office Supplies,Express,61.66,3.3,434,1,3.0,0.84,1.51,12.2
ORD-10154,Books,Economy,32.35,1.9,485,2,18.0,1.25,1.0,42.3
ORD-10155,Apparel,Standard,78.68,0.3,309,3,8.7,0.91,1.59,19.9
ORD-10156,Toys & Games,Express,109.11,1.3,647,4,4.6,1.32,1.08,20.0
ORD-10157,Health & Beauty,Economy,71.54,1.0,794,5,13.0,0.98,1.67,65.0
ORD-10158,Electronics,Standard,543.13,1.1,576,6,5.3,1.39,1.16,28.5
ORD-10159,Sports & Outdoors,Express,115.4,6.0,240,1,2.1,1.05,1.75,9.5
ORD-10160,Home & Kitchen,Standard,261.71,8.5,754,2,11.1,0.71,1.24,27.7
ORD-10161,Office Supplies,Standard,38.98,3.3,843,3,14.0,1.12,1.83,57.2
ORD-10162,Books,Express,54.71,2.3,453,4,3.7,0.78,1.32,11.5
ORD-10163,Apparel,Standard,62.92,0.3,1021,5,7.7,1.19,1.91,65.7
ORD-10164,Toys & Games,Standard,75.95,2.5,1110,6,10.6,0.85,1.4,43.6
ORD-10165,Health & Beauty,Express,34.58,1.2,46,1,5.3,1.26,0.89,6.2
ORD-10166,Electronics,Standard,569.69,2.7,238,2,4.3,0.92,1.48,12.4
ORD-10167,Sports & Outdoors,Standard,59.92,2.2,327,3,7.2,1.33,0.97,17.7
ORD-10168,Home & Kitchen,Express,109.59,4.9,259,4,2.8,0.99,1.56,9.5
ORD-10169,Office Supplies,Standard,15.3,3.3,505,5,13.0,1.4,1.05,31.6
ORD-10170,Books,Same Day,76.07,2.7,23,6,1.7,1.06,1.64,3.0
ORD-10171,Apparel,Economy,46.16,0.3,936,1,16.5,0.72,1.13,47.0
ORD-10172,Toys & Games,Standard,41.79,3.7,772,2,9.6,1.13,1.72,47.1
ORD-10173,Health & Beauty,Express,92.62,1.4,614,3,4.1,0.79,1.21,13.9
ORD-10174,Electronics,Economy,595.25,4.3,1245,4,11.5,1.2,1.8,119.1
ORD-10175,Sports & Outdoors,Standard,243.44,7.4,1039,5,6.2,0.86,1.29,35.0
ORD-10176,Home & Kitchen,Express,277.47,1.3,207,6,1.6,1.27,1.88,9.8
ORD-10177,Office Supplies,Economy,77.62,3.3,254,1,22.6,0.93,1.37,35.5
ORD-10178,Books,Standard,33.43,0.6,256,2,14.9,1.34,0.86,22.3
ORD-10179,Apparel,Express,30.4,0.3,420,3,3.2,1.0,1.45,13.4
ORD-10180,Toys & Games,Standard,117.63,1.4,434,4,8.6,1.41,0.94,23.0
ORD-10181,Health & Beauty,Standard,55.66,1.6,523,5,11.5,1.07,1.53,32.9
ORD-10182,Electronics,Express,621.81,5.9,633,6,4.8,0.73,1.02,12.7
ORD-10183,Sports & Outdoors,Standard,187.96,3.6,701,1,5.2,1.14,1.61,37.4
ORD-10184,Home & Kitchen,Standard,125.35,8.7,790,2,8.1,0.8,1.1,25.5
ORD-10185,Office Supplies,Express,54.94,3.3,226,3,2.3,1.21,1.69,10.0
ORD-10186,Books,Standard,55.79,1.0,968,4,13.9,0.87,1.18,38.7
ORD-10187,Apparel,Standard,194.64,0.3,1057,5,4.7,1.28,1.77,64.6
ORD-10188,Toys & Games,Express,83.47,2.6,439,6,3.9,0.94,1.26,12.6
ORD-10189,Health & Beauty,Standard,18.7,1.8,185,1,10.5,1.35,1.85,22.1
ORD-10190,Electronics,Same Day,647.37,1.5,43,2,2.1,1.01,1.34,4.0
ORD-10191,Sports & Outdoors,Economy,131.48,8.8,396,3,10.0,1.42,1.93,53.4
ORD-10192,Home & Kitchen,Standard,293.23,5.1,452,4,7.1,1.08,1.42,24.4
ORD-10193,Office Supplies,Express,31.26,3.3,174,5,5.2,0.74,0.91,7.2
ORD-10194,Books,Economy,12.15,1.4,705,6,21.1,1.15,1.5,69.7
ORD-10195,Apparel,Standard,178.88,0.3,719,1,15.8,0.81,0.99,30.2
ORD-10196,Toys & Games,Express,49.31,3.8,387,2,2.7,1.22,1.58,15.1
ORD-10197,Health & Beauty,Economy,76.74,0.2,1014,3,16.1,0.88,1.07,54.3
ORD-10198,Electronics,Standard,673.93,3.1,986,4,12.4,1.29,1.66,65.2
ORD-10199,Sports & Outdoors,Express,75.0,5.0,600,5,4.3,0.95,1.15,15.2
ORD-10200,Home & Kitchen,Standard,141.11,1.5,114,6,6.1,1.36,1.74,12.8
ORD-10201,Office Supplies,Standard,93.58,3.3,203,1,9.0,1.02,1.23,15.4
ORD-10202,Books,Express,34.51,1.8,193,2,1.8,1.43,1.82,10.2
ORD-10203,Apparel,Standard,162.12,0.3,381,3,14.8,1.09,1.31,28.4
ORD-10204,Toys & Games,Standard,125.15,1.5,470,4,5.6,0.75,1.9,22.3
ORD-10205,Health & Beauty,Express,39.78,0.4,406,5,3.4,1.16,1.39,14.3
ORD-10206,Electronics,Standard,699.49,4.7,648,6,11.4,0.82,0.88,23.1
ORD-10207,Sports & Outdoors,Standard,259.52,1.2,737,1,14.3,1.23,1.47,47.6
ORD-10208,Home & Kitchen,Express,309.99,8.9,619,2,5.0,0.89,0.96,13.8
ORD-10209,Office Supplies,Standard,70.9,3.3,915,3,8.0,1.3,1.55,54.1
ORD-10210,Books,Same Day,56.87,2.2,15,4,2.5,0.96,1.04,3.0
ORD-10211,Apparel,Economy,146.36,0.3,1156,5,19.6,1.37,1.63,122.9
ORD-10212,Toys & Games,Standard,91.99,2.7,132,6,4.6,1.03,1.12,8.4
ORD-10213,Health & Beauty,Express,97.82,0.6,354,1,2.2,1.44,1.71,16.7
ORD-10214,Electronics,Economy,725.05,6.3,165,2,14.6,1.1,1.2,23.3
ORD-10215,Sports & Outdoors,Standard,203.04,6.4,399,3,13.3,0.76,1.79,26.9
ORD-10216,Home & Kitchen,Express,157.87,5.3,567,4,3.8,1.17,1.28,18.0
ORD-10217,Office Supplies,Economy,47.22,3.3,474,5,9.6,0.83,1.87,39.0
ORD-10218,Books,Standard,13.23,2.6,666,6,9.9,1.24,1.36,38.0
ORD-10219,Apparel,Express,130.6,0.3,160,1,5.4,0.9,0.85,7.4
ORD-10220,Toys & Games,Standard,57.83,3.9,844,2,15.7,1.31,1.44,55.5
ORD-10221,Health & Beauty,Standard,60.86,0.8,933,3,6.5,0.97,0.93,27.5
ORD-10222,Electronics,Express,751.61,1.9,373,4,2.9,1.38,1.52,15.9
ORD-10223,Sports & Outdoors,Standard,147.56,2.6,1111,5,12.3,1.04,1.01,41.5
ORD-10224,Home & Kitchen,Standard,325.75,1.7,150,6,15.2,0.7,1.6,19.4
ORD-10225,Office Supplies,Express,24.54,3.3,586,1,4.5,1.11,1.09,16.3
ORD-10226,Books,Standard,35.59,0.5,328,2,8.9,0.77,1.68,19.5
ORD-10227,Apparel,Standard,114.84,0.3,417,3,11.8,1.18,1.17,26.2
ORD-10228,Toys & Games,Express,23.67,1.6,179,4,2.0,0.84,1.76,6.4
ORD-10229,Health & Beauty,Standard,23.9,1.0,595,5,5.5,1.25,1.25,28.7
ORD-10230,Electronics,Same Day,777.17,3.5,35,6,1.1,0.91,1.84,3.1
ORD-10231,Sports & Outdoors,Economy,91.08,7.8,616,1,13.1,1.32,1.33,56.4
ORD-10232,Home & Kitchen,Standard,173.63,9.1,862,2,14.2,0.98,1.92,54.7
ORD-10233,Office Supplies,Express,86.86,3.3,534,3,3.3,1.39,1.41,20.7
ORD-10234,Books,Economy,57.95,0.9,925,4,8.1,1.05,0.9,43.1
ORD-10235,Apparel,Standard,98.08,0.3,79,5,10.8,0.71,1.49,12.9
ORD-10236,Toys & Games,Express,99.51,2.8,127,6,4.9,1.12,0.98,7.2
ORD-10237,Health & Beauty,Economy,81.94,1.2,1234,1,19.2,0.78,1.57,79.6
ORD-10238,Electronics,Standard,803.73,5.1,346,2,7.4,1.19,1.06,18.3
ORD-10239,Sports & Outdoors,Express,35.6,4.0,340,3,2.4,0.85,1.65,10.3
ORD-10240,Home & Kitchen,Standard,341.51,5.5,524,4,13.2,1.26,1.14,32.0
ORD-10241,Office Supplies,Standard,63.18,3.3,613,5,4.0,0.92,1.73,28.4
ORD-10242,Books,Express,14.31,1.3,553,6,4.0,1.33,1.22,19.0
ORD-10243,Apparel,Standard,82.32,0.3,791,1,9.8,0.99,1.81,45.2
ORD-10244,Toys & Games,Standard,65.35,0.5,880,2,12.7,1.4,1.3,52.7
ORD-10245,Health & Beauty,Express,44.98,1.4,146,3,1.5,1.06,1.89,6.4
ORD-10246,Electronics,Standard,829.29,6.7,1058,4,6.4,0.72,1.38,32.7
ORD-10247,Sports & Outdoors,Standard,219.12,9.2,97,5,9.3,1.13,0.87,11.7
ORD-10248,Home & Kitchen,Express,189.39,1.9,359,6,3.1,0.79,1.46,10.0
ORD-10249,Office Supplies,Standard,40.5,3.3,275,1,15.1,1.2,0.95,22.9
ORD-10250,Books,Same Day,36.67,1.7,55,2,1.5,0.86,1.54,3.9
ORD-10251,Apparel,Economy,66.56,0.3,1376,3,22.7,1.27,1.03,94.7
ORD-10252,Toys & Games,Standard,31.19,1.7,542,4,11.7,0.93,1.62,32.1
ORD-10253,Health & Beauty,Express,102.02,1.6,94,5,4.4,1.34,1.11,6.7
ORD-10254,Electronics,Economy,855.85,2.3,385,6,17.7,1.0,1.7,43.9
ORD-10255,Sports & Outdoors,Standard,163.64,5.4,809,1,8.3,1.41,1.19,42.2
ORD-10256,Home & Kitchen,Express,357.27,9.3,307,2,1.9,1.07,1.78,11.6
ORD-10257,Office Supplies,Economy,17.82,3.3,694,3,12.7,0.73,1.27,38.4
ORD-10258,Books,Standard,58.03,2.1,1076,4,4.9,1.14,1.86,61.9
ORD-10259,Apparel,Express,50.8,0.3,520,5,3.5,0.8,1.35,12.9
ORD-10260,Toys & Games,Standard,107.03,2.9,204,6,10.7,1.21,1.94,22.7
ORD-10261,Health & Beauty,Standard,65.06,1.8,293,1,13.6,0.87,1.43,22.7
ORD-10262,Electronics,Express,131.41,3.9,113,2,5.1,1.28,0.92,7.3
ORD-10263,Sports & Outdoors,Standard,107.16,1.6,471,3,7.3,0.94,1.51,24.0
ORD-10264,Home & Kitchen,Standard,205.15,5.7,560,4,10.2,1.35,1.0,29.1
ORD-10265,Office Supplies,Express,79.14,3.3,326,5,2.6,1.01,1.59,11.3
ORD-10266,Books,Standard,15.39,2.5,738,6,16.0,1.42,1.08,44.3
ORD-10267,Apparel,Standard,34.04,0.3,827,1,6.8,1.08,1.67,44.1
ORD-10268,Toys & Games,Express,73.87,0.6,539,2,4.2,0.74,1.16,11.9
ORD-10269,Health & Beauty,Standard,28.1,0.2,1005,3,12.6,1.15,1.75,63.2
ORD-10270,Electronics,Same Day,157.97,5.5,27,4,1.9,0.81,1.24,2.8
ORD-10271,Sports & Outdoors,Economy,51.68,6.8,836,5,16.2,1.22,1.83,90.9
ORD-10272,Home & Kitchen,Standard,53.03,2.1,222,6,9.2,0.88,1.32,15.6
ORD-10273,Office Supplies,Express,56.46,3.3,274,1,5.5,1.29,1.91,16.8
ORD-10274,Books,Economy,37.75,0.4,1145,2,11.2,0.95,1.4,72.1
ORD-10275,Apparel,Standard,198.28,0.3,489,3,5.8,1.36,0.89,20.6
ORD-10276,Toys & Games,Express,39.71,1.8,487,4,3.0,1.02,1.48,15.3
ORD-10277,Health & Beauty,Economy,86.14,0.4,154,5,22.3,1.43,0.97,30.8
ORD-10278,Electronics,Standard,183.53,1.1,756,6,14.5,1.09,1.56,46.6
ORD-10279,Sports & Outdoors,Express,235.2,3.0,80,1,4.6,0.75,1.05,5.7
ORD-10280,Home & Kitchen,Standard,221.91,9.5,934,2,8.2,1.16,1.64,52.6
ORD-10281,Office Supplies,Standard,33.78,3.3,1023,3,11.1,0.82,1.13,34.8
ORD-10282,Books,Express,59.11,0.8,293,4,2.1,1.23,1.72,12.4
ORD-10283,Apparel,Standard,182.52,0.3,151,5,4.8,0.89,1.21,8.9
ORD-10284,Toys & Games,Standard,115.55,3.0,240,6,7.7,1.3,1.8,21.7
ORD-10285,Health & Beauty,Express,49.18,0.6,506,1,3.7,0.96,1.29,14.1
ORD-10286,Electronics,Standard,209.09,2.7,418,2,13.5,1.37,1.88,40.4
ORD-10287,Sports & Outdoors,Standard,179.72,8.2,507,3,4.3,1.03,1.37,22.2
ORD-10288,Home & Kitchen,Express,69.79,5.9,99,4,5.3,1.44,0.86,7.3
ORD-10289,Office Supplies,Standard,95.1,3.3,685,5,10.1,1.1,1.45,37.4
ORD-10290,Books,Same Day,16.47,1.2,47,6,2.3,0.76,0.94,3.4
ORD-10291,Apparel,Economy,166.76,0.3,296,1,9.7,1.17,1.53,30.9
ORD-10292,Toys & Games,Standard,81.39,0.7,952,2,6.7,0.83,1.02,26.8
ORD-10293,Health & Beauty,Express,107.22,0.8,454,3,2.5,1.24,1.61,17.6
ORD-10294,Electronics,Economy,235.65,4.3,605,4,20.8,0.9,1.1,44.8
ORD-10295,Sports & Outdoors,Standard,123.24,4.4,169,5,15.4,1.31,1.69,24.8
ORD-10296,Home & Kitchen,Express,237.67,2.3,47,6,4.1,0.97,1.18,5.0
ORD-10297,Office Supplies,Economy,72.42,3.3,914,1,15.8,1.38,1.77,105.1
ORD-10298,Books,Standard,38.83,1.6,436,2,12.0,1.04,1.26,26.3
ORD-10299,Apparel,Express,150.0,0.3,260,3,1.6,0.7,1.85,7.2
ORD-10300,Toys & Games,Standard,47.23,1.9,614,4,5.7,1.11,1.34,28.5
ORD-10301,Health & Beauty,Standard,70.26,1.0,703,5,8.6,0.77,1.93,34.7
ORD-10302,Electronics,Express,261.21,5.9,473,6,3.2,1.18,1.42,16.4
